mes,regiao,estado,sim,nao,nao_sei,porcentagem_sim,porcentagem_nao,porcentagem_nao_sei
9,Centro-Oeste,DF,6376,8,2,99.84,0.13,0.03
10,Centro-Oeste,DF,6696,27,2,99.57,0.4,0.03
11,Centro-Oeste,DF,6761,32,2,99.5,0.47,0.03
9,Centro-Oeste,GO,13907,35,0,99.75,0.25,0.0
10,Centro-Oeste,GO,13799,41,0,99.7,0.3,0.0
11,Centro-Oeste,GO,14154,41,0,99.71,0.29,0.0
9,Centro-Oeste,MS,9022,20,5,99.72,0.22,0.06
10,Centro-Oeste,MS,8708,22,0,99.75,0.25,0.0
11,Centro-Oeste,MS,8638,19,0,99.78,0.22,0.0
9,Centro-Oeste,MT,11597,36,5,99.65,0.31,0.04
10,Centro-Oeste,MT,11141,17,1,99.84,0.15,0.01
11,Centro-Oeste,MT,11325,31,3,99.7,0.27,0.03
9,Nordeste,AL,11491,59,0,99.49,0.51,0.0
10,Nordeste,AL,11434,63,0,99.45,0.55,0.0
11,Nordeste,AL,11355,48,0,99.58,0.42,0.0
9,Nordeste,BA,17420,79,7,99.51,0.45,0.04
10,Nordeste,BA,16686,47,8,99.67,0.28,0.05
11,Nordeste,BA,17000,62,1,99.63,0.36,0.01
9,Nordeste,CE,17524,43,1,99.75,0.24,0.01
10,Nordeste,CE,16745,30,11,99.76,0.18,0.07
11,Nordeste,CE,16146,36,0,99.78,0.22,0.0
9,Nordeste,MA,20519,137,3,99.32,0.66,0.01
10,Nordeste,MA,20026,107,4,99.45,0.53,0.02
11,Nordeste,MA,20323,81,0,99.6,0.4,0.0
9,Nordeste,PB,10023,23,0,99.77,0.23,0.0
10,Nordeste,PB,9745,23,0,99.76,0.24,0.0
11,Nordeste,PB,9844,26,3,99.71,0.26,0.03
9,Nordeste,PE,16759,46,1,99.72,0.27,0.01
10,Nordeste,PE,16813,48,6,99.68,0.28,0.04
11,Nordeste,PE,17072,62,4,99.61,0.36,0.02
9,Nordeste,PI,8361,62,1,99.25,0.74,0.01
10,Nordeste,PI,8177,53,3,99.32,0.64,0.04
11,Nordeste,PI,8446,34,0,99.6,0.4,0.0
9,Nordeste,RN,8004,35,0,99.56,0.44,0.0
10,Nordeste,RN,7706,29,3,99.59,0.37,0.04
11,Nordeste,RN,7739,32,4,99.54,0.41,0.05
9,Nordeste,SE,8197,29,0,99.65,0.35,0.0
10,Nordeste,SE,7931,46,0,99.42,0.58,0.0
11,Nordeste,SE,7981,32,0,99.6,0.4,0.0
9,Norte,AC,6368,46,0,99.28,0.72,0.0
10,Norte,AC,6279,38,1,99.38,0.6,0.02
11,Norte,AC,6061,40,1,99.33,0.66,0.02
9,Norte,AM,10486,53,8,99.42,0.5,0.08
10,Norte,AM,10411,48,8,99.46,0.46,0.08
11,Norte,AM,10292,41,8,99.53,0.4,0.08
9,Norte,AP,2835,11,1,99.58,0.39,0.04
10,Norte,AP,2358,0,0,100.0,0.0,0.0
11,Norte,AP,2449,22,1,99.07,0.89,0.04
9,Norte,PA,12025,21,0,99.83,0.17,0.0
10,Norte,PA,11809,30,1,99.74,0.25,0.01
11,Norte,PA,11856,22,0,99.81,0.19,0.0
9,Norte,RO,5154,22,2,99.54,0.42,0.04
10,Norte,RO,5411,30,2,99.41,0.55,0.04
11,Norte,RO,5985,14,2,99.73,0.23,0.03
9,Norte,RR,5453,31,0,99.43,0.57,0.0
10,Norte,RR,5541,35,0,99.37,0.63,0.0
11,Norte,RR,5569,45,0,99.2,0.8,0.0
9,Norte,TO,5165,24,0,99.54,0.46,0.0
10,Norte,TO,5156,14,0,99.73,0.27,0.0
11,Norte,TO,5073,14,0,99.72,0.28,0.0
9,Sudeste,ES,15747,69,3,99.54,0.44,0.02
10,Sudeste,ES,15772,56,1,99.64,0.35,0.01
11,Sudeste,ES,15819,43,1,99.72,0.27,0.01
9,Sudeste,MG,34412,107,8,99.67,0.31,0.02
10,Sudeste,MG,34094,129,7,99.6,0.38,0.02
11,Sudeste,MG,34233,92,14,99.69,0.27,0.04
9,Sudeste,RJ,29243,36,33,99.76,0.12,0.11
10,Sudeste,RJ,28935,52,41,99.68,0.18,0.14
11,Sudeste,RJ,28965,60,40,99.66,0.21,0.14
9,Sudeste,SP,33372,96,9,99.69,0.29,0.03
10,Sudeste,SP,32346,83,11,99.71,0.26,0.03
11,Sudeste,SP,32011,93,0,99.71,0.29,0.0
9,Sul,PR,20190,14,0,99.93,0.07,0.0
10,Sul,PR,19883,25,0,99.87,0.13,0.0
11,Sul,PR,19856,16,0,99.92,0.08,0.0
9,Sul,RS,22442,27,0,99.88,0.12,0.0
10,Sul,RS,22019,25,2,99.88,0.11,0.01
11,Sul,RS,21894,34,3,99.83,0.16,0.01
9,Sul,SC,23906,42,0,99.82,0.18,0.0
10,Sul,SC,23534,74,2,99.68,0.31,0.01
11,Sul,SC,23377,54,1,99.77,0.23,0.0
