mes,semana,regiao,estado,comportamento_pandemia,modalidade_ensino,modalidade_trabalho,respondentes
9,1,Centro-Oeste,DF,Continuou saindo normalmente,Não aplicável,Não aplicável,34
9,1,Centro-Oeste,DF,Continuou saindo normalmente,Não aplicável,Remoto,1
9,1,Centro-Oeste,DF,"Reduziu contato com as pessoas, mas continuou saindo ou recebendo visitas",Não aplicável,Não aplicável,438
9,1,Centro-Oeste,DF,"Reduziu contato com as pessoas, mas continuou saindo ou recebendo visitas",Não aplicável,Remoto,53
9,1,Centro-Oeste,DF,"Reduziu contato com as pessoas, mas continuou saindo ou recebendo visitas",Não aplicável,Presencial,10
9,1,Centro-Oeste,DF,Ficou em casa e só saiu quando necessário,Não aplicável,Não aplicável,704
9,1,Centro-Oeste,DF,Ficou em casa e só saiu quando necessário,Não aplicável,Remoto,62
9,1,Centro-Oeste,DF,Ficou em casa e só saiu quando necessário,Não aplicável,Presencial,1
9,1,Centro-Oeste,DF,Ficou rigorosamente em casa,Não aplicável,Não aplicável,239
9,1,Centro-Oeste,DF,Ficou rigorosamente em casa,Não aplicável,Remoto,7
9,1,Centro-Oeste,DF,Ficou rigorosamente em casa,Não aplicável,Presencial,1
9,1,Centro-Oeste,DF,Ignorado,Não aplicável,Não aplicável,7
9,2,Centro-Oeste,DF,Continuou saindo normalmente,Não aplicável,Não aplicável,19
9,2,Centro-Oeste,DF,Continuou saindo normalmente,Não aplicável,Remoto,1
9,2,Centro-Oeste,DF,"Reduziu contato com as pessoas, mas continuou saindo ou recebendo visitas",Não aplicável,Não aplicável,426
9,2,Centro-Oeste,DF,"Reduziu contato com as pessoas, mas continuou saindo ou recebendo visitas",Não aplicável,Remoto,42
9,2,Centro-Oeste,DF,"Reduziu contato com as pessoas, mas continuou saindo ou recebendo visitas",Não aplicável,Presencial,10
9,2,Centro-Oeste,DF,Ficou em casa e só saiu quando necessário,Não aplicável,Não aplicável,720
9,2,Centro-Oeste,DF,Ficou em casa e só saiu quando necessário,Não aplicável,Remoto,69
9,2,Centro-Oeste,DF,Ficou em casa e só saiu quando necessário,Não aplicável,Presencial,5
9,2,Centro-Oeste,DF,Ficou rigorosamente em casa,Não aplicável,Não aplicável,284
9,2,Centro-Oeste,DF,Ficou rigorosamente em casa,Não aplicável,Remoto,13
9,2,Centro-Oeste,DF,Ficou rigorosamente em casa,Não aplicável,Presencial,1
9,2,Centro-Oeste,DF,Ignorado,Não aplicável,Não aplicável,3
9,3,Centro-Oeste,DF,Continuou saindo normalmente,Não aplicável,Não aplicável,39
9,3,Centro-Oeste,DF,Continuou saindo normalmente,Não aplicável,Remoto,4
9,3,Centro-Oeste,DF,Continuou saindo normalmente,Não aplicável,Presencial,1
9,3,Centro-Oeste,DF,"Reduziu contato com as pessoas, mas continuou saindo ou recebendo visitas",Não aplicável,Não aplicável,472
9,3,Centro-Oeste,DF,"Reduziu contato com as pessoas, mas continuou saindo ou recebendo visitas",Não aplicável,Remoto,32
9,3,Centro-Oeste,DF,"Reduziu contato com as pessoas, mas continuou saindo ou recebendo visitas",Não aplicável,Presencial,9
9,3,Centro-Oeste,DF,Ficou em casa e só saiu quando necessário,Não aplicável,Não aplicável,672
9,3,Centro-Oeste,DF,Ficou em casa e só saiu quando necessário,Não aplicável,Remoto,87
9,3,Centro-Oeste,DF,Ficou em casa e só saiu quando necessário,Não aplicável,Presencial,3
9,3,Centro-Oeste,DF,Ficou rigorosamente em casa,Não aplicável,Não aplicável,210
9,3,Centro-Oeste,DF,Ficou rigorosamente em casa,Não aplicável,Remoto,11
9,3,Centro-Oeste,DF,Ficou rigorosamente em casa,Não aplicável,Presencial,1
9,3,Centro-Oeste,DF,Ignorado,Não aplicável,Não aplicável,16
9,4,Centro-Oeste,DF,Continuou saindo normalmente,Não aplicável,Não aplicável,35
9,4,Centro-Oeste,DF,Continuou saindo normalmente,Não aplicável,Remoto,4
9,4,Centro-Oeste,DF,Continuou saindo normalmente,Não aplicável,Presencial,1
9,4,Centro-Oeste,DF,"Reduziu contato com as pessoas, mas continuou saindo ou recebendo visitas",Não aplicável,Não aplicável,548
9,4,Centro-Oeste,DF,"Reduziu contato com as pessoas, mas continuou saindo ou recebendo visitas",Não aplicável,Remoto,60
9,4,Centro-Oeste,DF,"Reduziu contato com as pessoas, mas continuou saindo ou recebendo visitas",Não aplicável,Presencial,10
9,4,Centro-Oeste,DF,Ficou em casa e só saiu quando necessário,Não aplicável,Não aplicável,654
9,4,Centro-Oeste,DF,Ficou em casa e só saiu quando necessário,Não aplicável,Remoto,94
9,4,Centro-Oeste,DF,Ficou em casa e só saiu quando necessário,Não aplicável,Presencial,4
9,4,Centro-Oeste,DF,Ficou rigorosamente em casa,Não aplicável,Não aplicável,226
9,4,Centro-Oeste,DF,Ficou rigorosamente em casa,Não aplicável,Remoto,10
9,4,Centro-Oeste,DF,Ignorado,Não aplicável,Não aplicável,32
9,4,Centro-Oeste,DF,Ignorado,Não aplicável,Remoto,1
10,1,Centro-Oeste,DF,Continuou saindo normalmente,Não aplicável,Não aplicável,60
10,1,Centro-Oeste,DF,Continuou saindo normalmente,Não aplicável,Remoto,4
10,1,Centro-Oeste,DF,"Reduziu contato com as pessoas, mas continuou saindo ou recebendo visitas",Não aplicável,Não aplicável,604
10,1,Centro-Oeste,DF,"Reduziu contato com as pessoas, mas continuou saindo ou recebendo visitas",Não aplicável,Remoto,56
10,1,Centro-Oeste,DF,"Reduziu contato com as pessoas, mas continuou saindo ou recebendo visitas",Não aplicável,Presencial,10
10,1,Centro-Oeste,DF,Ficou em casa e só saiu quando necessário,Não aplicável,Não aplicável,658
10,1,Centro-Oeste,DF,Ficou em casa e só saiu quando necessário,Não aplicável,Remoto,49
10,1,Centro-Oeste,DF,Ficou em casa e só saiu quando necessário,Não aplicável,Presencial,1
10,1,Centro-Oeste,DF,Ficou rigorosamente em casa,Não aplicável,Não aplicável,246
10,1,Centro-Oeste,DF,Ficou rigorosamente em casa,Não aplicável,Remoto,8
10,1,Centro-Oeste,DF,Ficou rigorosamente em casa,Não aplicável,Presencial,1
10,1,Centro-Oeste,DF,Ignorado,Não aplicável,Não aplicável,20
10,2,Centro-Oeste,DF,Continuou saindo normalmente,Não aplicável,Não aplicável,41
10,2,Centro-Oeste,DF,Continuou saindo normalmente,Não aplicável,Remoto,4
10,2,Centro-Oeste,DF,"Reduziu contato com as pessoas, mas continuou saindo ou recebendo visitas",Não aplicável,Não aplicável,555
10,2,Centro-Oeste,DF,"Reduziu contato com as pessoas, mas continuou saindo ou recebendo visitas",Não aplicável,Remoto,50
10,2,Centro-Oeste,DF,"Reduziu contato com as pessoas, mas continuou saindo ou recebendo visitas",Não aplicável,Presencial,10
10,2,Centro-Oeste,DF,Ficou em casa e só saiu quando necessário,Não aplicável,Não aplicável,710
10,2,Centro-Oeste,DF,Ficou em casa e só saiu quando necessário,Não aplicável,Remoto,60
10,2,Centro-Oeste,DF,Ficou em casa e só saiu quando necessário,Não aplicável,Presencial,3
10,2,Centro-Oeste,DF,Ficou rigorosamente em casa,Não aplicável,Não aplicável,216
10,2,Centro-Oeste,DF,Ficou rigorosamente em casa,Não aplicável,Remoto,6
10,2,Centro-Oeste,DF,Ignorado,Não aplicável,Não aplicável,9
10,3,Centro-Oeste,DF,Continuou saindo normalmente,Não aplicável,Não aplicável,49
10,3,Centro-Oeste,DF,Continuou saindo normalmente,Não aplicável,Remoto,4
10,3,Centro-Oeste,DF,"Reduziu contato com as pessoas, mas continuou saindo ou recebendo visitas",Não aplicável,Não aplicável,568
10,3,Centro-Oeste,DF,"Reduziu contato com as pessoas, mas continuou saindo ou recebendo visitas",Não aplicável,Remoto,44
10,3,Centro-Oeste,DF,"Reduziu contato com as pessoas, mas continuou saindo ou recebendo visitas",Não aplicável,Presencial,15
10,3,Centro-Oeste,DF,Ficou em casa e só saiu quando necessário,Não aplicável,Não aplicável,619
10,3,Centro-Oeste,DF,Ficou em casa e só saiu quando necessário,Não aplicável,Remoto,71
10,3,Centro-Oeste,DF,Ficou em casa e só saiu quando necessário,Não aplicável,Presencial,2
10,3,Centro-Oeste,DF,Ficou rigorosamente em casa,Não aplicável,Não aplicável,184
10,3,Centro-Oeste,DF,Ficou rigorosamente em casa,Não aplicável,Remoto,11
10,3,Centro-Oeste,DF,Ignorado,Não aplicável,Não aplicável,12
10,3,Centro-Oeste,DF,Ignorado,Não aplicável,Remoto,5
10,4,Centro-Oeste,DF,Continuou saindo normalmente,Não aplicável,Não aplicável,52
10,4,Centro-Oeste,DF,Continuou saindo normalmente,Não aplicável,Remoto,6
10,4,Centro-Oeste,DF,Continuou saindo normalmente,Não aplicável,Presencial,1
10,4,Centro-Oeste,DF,"Reduziu contato com as pessoas, mas continuou saindo ou recebendo visitas",Não aplicável,Não aplicável,639
10,4,Centro-Oeste,DF,"Reduziu contato com as pessoas, mas continuou saindo ou recebendo visitas",Não aplicável,Remoto,69
10,4,Centro-Oeste,DF,"Reduziu contato com as pessoas, mas continuou saindo ou recebendo visitas",Não aplicável,Presencial,5
10,4,Centro-Oeste,DF,Ficou em casa e só saiu quando necessário,Não aplicável,Não aplicável,662
10,4,Centro-Oeste,DF,Ficou em casa e só saiu quando necessário,Não aplicável,Remoto,80
10,4,Centro-Oeste,DF,Ficou em casa e só saiu quando necessário,Não aplicável,Presencial,2
10,4,Centro-Oeste,DF,Ficou rigorosamente em casa,Não aplicável,Não aplicável,203
10,4,Centro-Oeste,DF,Ficou rigorosamente em casa,Não aplicável,Remoto,5
10,4,Centro-Oeste,DF,Ignorado,Não aplicável,Não aplicável,36
11,1,Centro-Oeste,DF,Continuou saindo normalmente,Não aplicável,Não aplicável,53
11,1,Centro-Oeste,DF,Continuou saindo normalmente,Não aplicável,Remoto,5
11,1,Centro-Oeste,DF,Continuou saindo normalmente,Não aplicável,Presencial,3
11,1,Centro-Oeste,DF,Continuou saindo normalmente,Presencial,Não aplicável,2
11,1,Centro-Oeste,DF,Continuou saindo normalmente,Remoto,Não aplicável,4
11,1,Centro-Oeste,DF,Continuou saindo normalmente,Remoto,Não aplicável,8
11,1,Centro-Oeste,DF,"Reduziu contato com as pessoas, mas continuou saindo ou recebendo visitas",Não aplicável,Não aplicável,565
11,1,Centro-Oeste,DF,"Reduziu contato com as pessoas, mas continuou saindo ou recebendo visitas",Não aplicável,Remoto,51
11,1,Centro-Oeste,DF,"Reduziu contato com as pessoas, mas continuou saindo ou recebendo visitas",Não aplicável,Presencial,9
11,1,Centro-Oeste,DF,"Reduziu contato com as pessoas, mas continuou saindo ou recebendo visitas",Presencial,Não aplicável,8
11,1,Centro-Oeste,DF,"Reduziu contato com as pessoas, mas continuou saindo ou recebendo visitas",Híbrido,Não aplicável,10
11,1,Centro-Oeste,DF,"Reduziu contato com as pessoas, mas continuou saindo ou recebendo visitas",Remoto,Não aplicável,54
11,1,Centro-Oeste,DF,"Reduziu contato com as pessoas, mas continuou saindo ou recebendo visitas",Remoto,Remoto,2
11,1,Centro-Oeste,DF,"Reduziu contato com as pessoas, mas continuou saindo ou recebendo visitas",Remoto,Presencial,1
11,1,Centro-Oeste,DF,"Reduziu contato com as pessoas, mas continuou saindo ou recebendo visitas",Remoto,Não aplicável,32
11,1,Centro-Oeste,DF,"Reduziu contato com as pessoas, mas continuou saindo ou recebendo visitas",Remoto,Remoto,1
11,1,Centro-Oeste,DF,Ficou em casa e só saiu quando necessário,Não aplicável,Não aplicável,473
11,1,Centro-Oeste,DF,Ficou em casa e só saiu quando necessário,Não aplicável,Remoto,48
11,1,Centro-Oeste,DF,Ficou em casa e só saiu quando necessário,Não aplicável,Presencial,1
11,1,Centro-Oeste,DF,Ficou em casa e só saiu quando necessário,Presencial,Não aplicável,1
11,1,Centro-Oeste,DF,Ficou em casa e só saiu quando necessário,Híbrido,Não aplicável,5
11,1,Centro-Oeste,DF,Ficou em casa e só saiu quando necessário,Remoto,Não aplicável,128
11,1,Centro-Oeste,DF,Ficou em casa e só saiu quando necessário,Remoto,Remoto,3
11,1,Centro-Oeste,DF,Ficou em casa e só saiu quando necessário,Remoto,Não aplicável,58
11,1,Centro-Oeste,DF,Ficou em casa e só saiu quando necessário,Remoto,Remoto,1
11,1,Centro-Oeste,DF,Ficou rigorosamente em casa,Não aplicável,Não aplicável,113
11,1,Centro-Oeste,DF,Ficou rigorosamente em casa,Não aplicável,Remoto,1
11,1,Centro-Oeste,DF,Ficou rigorosamente em casa,Remoto,Não aplicável,40
11,1,Centro-Oeste,DF,Ficou rigorosamente em casa,Remoto,Remoto,1
11,1,Centro-Oeste,DF,Ficou rigorosamente em casa,Remoto,Não aplicável,19
11,1,Centro-Oeste,DF,Ignorado,Não aplicável,Não aplicável,3
11,2,Centro-Oeste,DF,Continuou saindo normalmente,Não aplicável,Não aplicável,41
11,2,Centro-Oeste,DF,Continuou saindo normalmente,Não aplicável,Remoto,7
11,2,Centro-Oeste,DF,Continuou saindo normalmente,Presencial,Não aplicável,2
11,2,Centro-Oeste,DF,Continuou saindo normalmente,Remoto,Não aplicável,7
11,2,Centro-Oeste,DF,Continuou saindo normalmente,Remoto,Não aplicável,1
11,2,Centro-Oeste,DF,"Reduziu contato com as pessoas, mas continuou saindo ou recebendo visitas",Não aplicável,Não aplicável,540
11,2,Centro-Oeste,DF,"Reduziu contato com as pessoas, mas continuou saindo ou recebendo visitas",Não aplicável,Remoto,37
11,2,Centro-Oeste,DF,"Reduziu contato com as pessoas, mas continuou saindo ou recebendo visitas",Não aplicável,Presencial,11
11,2,Centro-Oeste,DF,"Reduziu contato com as pessoas, mas continuou saindo ou recebendo visitas",Presencial,Não aplicável,8
11,2,Centro-Oeste,DF,"Reduziu contato com as pessoas, mas continuou saindo ou recebendo visitas",Híbrido,Não aplicável,7
11,2,Centro-Oeste,DF,"Reduziu contato com as pessoas, mas continuou saindo ou recebendo visitas",Remoto,Não aplicável,59
11,2,Centro-Oeste,DF,"Reduziu contato com as pessoas, mas continuou saindo ou recebendo visitas",Remoto,Remoto,2
11,2,Centro-Oeste,DF,"Reduziu contato com as pessoas, mas continuou saindo ou recebendo visitas",Remoto,Não aplicável,29
11,2,Centro-Oeste,DF,"Reduziu contato com as pessoas, mas continuou saindo ou recebendo visitas",Remoto,Remoto,3
11,2,Centro-Oeste,DF,Ficou em casa e só saiu quando necessário,Não aplicável,Não aplicável,509
11,2,Centro-Oeste,DF,Ficou em casa e só saiu quando necessário,Não aplicável,Remoto,56
11,2,Centro-Oeste,DF,Ficou em casa e só saiu quando necessário,Não aplicável,Presencial,4
11,2,Centro-Oeste,DF,Ficou em casa e só saiu quando necessário,Presencial,Não aplicável,3
11,2,Centro-Oeste,DF,Ficou em casa e só saiu quando necessário,Híbrido,Não aplicável,7
11,2,Centro-Oeste,DF,Ficou em casa e só saiu quando necessário,Remoto,Não aplicável,144
