estado,total_confirmados,total_mortes,total_recuperados,total_ativos,taxa_morte,taxa_recuperados
Acre,2711065,61493,423,2444932,2.27,0.02
Alagoas,8037243,194848,4266,6543358,2.42,0.05
Amapá,4594153,66516,412,4104588,1.45,0.01
Amazonas,13732761,116357,1099,5552036,0.85,0.01
Bahia,29720757,641262,11364,26819964,2.16,0.04
Ceará,23316753,830347,4697,19827229,3.56,0.02
Espírito Santo,13125252,334368,609,12583848,2.55,0.0
Federal District,18289988,311681,0,17978307,1.7,0.0
Goiás,20486507,463735,8695,18912611,2.26,0.04
Maranhão,16212577,354905,9785,11678461,2.19,0.06
Mato Grosso,11939769,325131,5245,10293838,2.72,0.04
Mato Grosso do Sul,6854591,129156,1670,6435748,1.88,0.02
Minas Gerais,29337852,727934,34085,26327234,2.48,0.12
Paraná,17897116,435657,31014,11725445,2.43,0.17
Paraíba,11556390,267859,8488,9883371,2.32,0.07
Pará,21824300,603033,3706,18994137,2.76,0.02
Pernambuco,14100948,764768,3742,12396940,5.42,0.03
Piauí,9482075,205564,8575,8021165,2.17,0.09
Rio Grande do Norte,6883348,226019,6796,5875995,3.28,0.1
Rio Grande do Sul,20177188,477712,14243,18821920,2.37,0.07
Rio de Janeiro,26198056,1771965,703,24194430,6.76,0.0
Rondônia,6240179,126711,1252,5842638,2.03,0.02
Roraima,4782970,60324,383,4451145,1.26,0.01
Santa Catarina,21727450,269851,8080,20413439,1.24,0.04
Sergipe,7368290,192295,3130,6264728,2.61,0.04
São Paulo,95092853,3380150,12993,90075578,3.55,0.01
Tocantins,6404170,90716,5807,5471848,1.42,0.09
