regiao,estado,raca_cor,escolaridade,respondentes
Norte,AP,Branca,Superior completo,198
Norte,AP,Parda,Fundamental incompleto,1549
Norte,AP,Parda,"Pós-graduação, mestrado ou doutorado",121
Norte,AP,Parda,Sem instrução,600
Norte,AP,Branca,Fundamental incompleto,414
Norte,AP,Parda,Fundamental completo,277
Norte,AP,Branca,Superior incompleto,106
Norte,AP,Preta,Fundamental completo,26
Norte,AP,Branca,Médio incompleto,153
Norte,AP,Indígena,Superior completo,8
Norte,AP,Preta,Sem instrução,47
Norte,AP,Preta,Superior incompleto,44
Norte,AP,Preta,Fundamental incompleto,126
Norte,AP,Branca,Fundamental completo,96
Norte,AP,Indígena,Médio completo,1
Norte,AP,Amarela,Superior incompleto,5
Norte,AP,Indígena,Superior incompleto,3
Norte,AP,Ignorada,Superior incompleto,1
Norte,AC,Branca,Fundamental incompleto,1097
Norte,AC,Parda,Médio incompleto,1485
Norte,AC,Parda,Sem instrução,1643
Norte,AC,Parda,Superior incompleto,823
Norte,AC,Branca,Sem instrução,511
Norte,AC,Branca,Médio completo,891
Norte,AC,Branca,Superior incompleto,209
Norte,AC,Branca,"Pós-graduação, mestrado ou doutorado",147
Norte,AC,Amarela,Fundamental completo,2
Norte,AC,Amarela,Sem instrução,13
Norte,AC,Amarela,Médio completo,23
Norte,AC,Branca,Superior completo,467
Norte,AC,Preta,Médio incompleto,111
Norte,AC,Preta,"Pós-graduação, mestrado ou doutorado",27
Norte,AC,Preta,Superior completo,140
Norte,AC,Amarela,Médio incompleto,12
Norte,AC,Indígena,Médio incompleto,3
Norte,AC,Preta,Superior incompleto,78
Norte,AC,Amarela,Superior incompleto,6
Norte,RO,Branca,Fundamental incompleto,1800
Norte,RO,Branca,Médio completo,850
Norte,RO,Branca,Fundamental completo,274
Norte,RO,Parda,Sem instrução,1197
Norte,RO,Branca,Sem instrução,581
Norte,RO,Parda,Fundamental completo,565
Norte,RO,Branca,Médio incompleto,417
Norte,RO,Preta,Superior incompleto,44
Norte,RO,Preta,Fundamental completo,75
Norte,RO,Parda,"Pós-graduação, mestrado ou doutorado",197
