mes,semana,regiao,estado,sexo,raca_cor,faixa_renda_dinheiro,respondentes
7,1,Centro-Oeste,DF,M,Branca,Não aplicável,179
7,1,Centro-Oeste,DF,M,Branca,101 a 300,1
7,1,Centro-Oeste,DF,M,Branca,301 a 600,2
7,1,Centro-Oeste,DF,M,Branca,601 a 800,3
7,1,Centro-Oeste,DF,M,Branca,801 a 1.600,50
7,1,Centro-Oeste,DF,M,Branca,1.601 a 3.000,27
7,1,Centro-Oeste,DF,M,Branca,3.001 a 10.000,54
7,1,Centro-Oeste,DF,M,Branca,10.001 a 50.000,12
7,1,Centro-Oeste,DF,M,Preta,Não aplicável,36
7,1,Centro-Oeste,DF,M,Preta,301 a 600,3
7,1,Centro-Oeste,DF,M,Preta,601 a 800,1
7,1,Centro-Oeste,DF,M,Preta,801 a 1.600,22
7,1,Centro-Oeste,DF,M,Preta,1.601 a 3.000,10
7,1,Centro-Oeste,DF,M,Preta,3.001 a 10.000,7
7,1,Centro-Oeste,DF,M,Preta,10.001 a 50.000,2
7,1,Centro-Oeste,DF,M,Amarela,Não aplicável,2
7,1,Centro-Oeste,DF,M,Amarela,1.601 a 3.000,1
7,1,Centro-Oeste,DF,M,Amarela,3.001 a 10.000,3
7,1,Centro-Oeste,DF,M,Parda,Não aplicável,207
7,1,Centro-Oeste,DF,M,Parda,101 a 300,1
7,1,Centro-Oeste,DF,M,Parda,301 a 600,6
7,1,Centro-Oeste,DF,M,Parda,801 a 1.600,59
7,1,Centro-Oeste,DF,M,Parda,1.601 a 3.000,46
7,1,Centro-Oeste,DF,M,Parda,3.001 a 10.000,27
7,1,Centro-Oeste,DF,M,Parda,10.001 a 50.000,13
7,1,Centro-Oeste,DF,F,Branca,Não aplicável,231
7,1,Centro-Oeste,DF,F,Branca,301 a 600,2
7,1,Centro-Oeste,DF,F,Branca,601 a 800,5
7,1,Centro-Oeste,DF,F,Branca,801 a 1.600,39
7,1,Centro-Oeste,DF,F,Branca,1.601 a 3.000,33
7,1,Centro-Oeste,DF,F,Branca,3.001 a 10.000,41
7,1,Centro-Oeste,DF,F,Branca,10.001 a 50.000,12
7,1,Centro-Oeste,DF,F,Preta,Não aplicável,45
7,1,Centro-Oeste,DF,F,Preta,101 a 300,1
7,1,Centro-Oeste,DF,F,Preta,301 a 600,2
7,1,Centro-Oeste,DF,F,Preta,801 a 1.600,17
7,1,Centro-Oeste,DF,F,Preta,1.601 a 3.000,12
7,1,Centro-Oeste,DF,F,Preta,3.001 a 10.000,5
7,1,Centro-Oeste,DF,F,Preta,10.001 a 50.000,1
7,1,Centro-Oeste,DF,F,Amarela,Não aplicável,5
7,1,Centro-Oeste,DF,F,Amarela,3.001 a 10.000,2
7,1,Centro-Oeste,DF,F,Parda,Não aplicável,279
7,1,Centro-Oeste,DF,F,Parda,0 a 100,1
7,1,Centro-Oeste,DF,F,Parda,301 a 600,11
7,1,Centro-Oeste,DF,F,Parda,601 a 800,4
7,1,Centro-Oeste,DF,F,Parda,801 a 1.600,68
7,1,Centro-Oeste,DF,F,Parda,1.601 a 3.000,21
7,1,Centro-Oeste,DF,F,Parda,3.001 a 10.000,28
7,1,Centro-Oeste,DF,F,Parda,10.001 a 50.000,5
7,1,Centro-Oeste,DF,F,Indígena,801 a 1.600,1
