mes,semana,mes_semana,regiao,estado,buscou_estabelecimento_saude,foi_internado,sem_atendimento,sedado_entubado,respondentes
9,2,9_2,Norte,AP,13,0,0,0,13
9,4,9_4,Norte,AP,2,0,0,0,2
9,4,9_4,Norte,AP,4,0,0,0,4
9,2,9_2,Norte,AP,2,0,0,0,2
10,3,10_3,Norte,AP,2,0,0,0,2
10,1,10_1,Norte,AP,3,0,0,0,3
11,4,11_4,Norte,AP,12,0,0,0,12
11,1,11_1,Norte,AP,5,0,0,0,5
11,2,11_2,Norte,AP,8,0,0,0,8
11,1,11_1,Norte,AP,1,1,0,0,1
9,4,9_4,Norte,TO,11,0,0,0,11
9,1,9_1,Norte,TO,4,0,0,0,4
9,3,9_3,Norte,TO,13,0,0,0,13
9,1,9_1,Norte,TO,16,0,0,0,16
9,4,9_4,Norte,TO,18,0,0,0,18
10,2,10_2,Norte,TO,11,0,0,0,11
10,1,10_1,Norte,TO,13,0,0,0,13
10,3,10_3,Norte,TO,3,0,0,0,3
10,2,10_2,Norte,TO,1,1,0,1,1
10,2,10_2,Norte,TO,7,0,0,0,7
10,3,10_3,Norte,TO,2,0,0,0,2
11,4,11_4,Norte,TO,1,1,0,0,1
11,4,11_4,Norte,TO,3,0,0,0,3
11,4,11_4,Norte,TO,12,0,0,0,12
9,3,9_3,Norte,RR,16,0,0,0,16
9,3,9_3,Norte,RR,3,0,0,0,3
9,4,9_4,Norte,RR,1,1,0,0,1
9,3,9_3,Norte,RR,1,1,0,0,1
9,2,9_2,Norte,RR,1,0,0,0,1
10,2,10_2,Norte,RR,11,0,0,0,11
10,2,10_2,Norte,RR,3,0,0,0,3
10,1,10_1,Norte,RR,1,1,0,0,1
11,1,11_1,Norte,RR,6,0,0,0,6
11,3,11_3,Norte,RR,8,0,0,0,8
11,2,11_2,Norte,RR,6,0,0,0,6
11,2,11_2,Norte,RR,1,0,0,0,1
9,4,9_4,Centro-Oeste,MS,10,0,0,0,10
9,2,9_2,Centro-Oeste,MS,3,3,0,0,3
9,3,9_3,Centro-Oeste,MS,3,3,0,0,3
