regiao,estado,mes,semana,mes_semana,febre,tosse,dor_garganta,dor_cabeca,dor_olhos,coriza,fadiga,nausea,diarreia,dor_peito,dor_muscular,dificuldade_respirar,cheiro_sabor,risco_idade,diabetes,hipertensao,doenca_respiratoria,doenca_cardiaca,depessao,cancer
Norte,AP,9,4,9_4,10,6,11,13,1,2,8,3,2,6,2,7,7,118,21,64,22,5,2,3
Norte,AP,11,2,11_2,11,16,11,13,4,10,7,4,4,1,10,5,7,128,30,70,25,4,8,2
Norte,AP,11,4,11_4,22,14,18,22,6,10,9,7,5,6,5,10,7,129,24,73,28,7,4,5
Norte,AP,11,3,11_3,14,21,17,19,2,16,3,6,0,2,11,5,13,125,23,63,30,14,6,3
Norte,AP,11,1,11_1,8,5,4,12,3,5,4,3,3,5,7,2,5,65,14,48,17,6,1,0
Norte,AP,9,1,9_1,12,11,11,18,3,8,7,2,6,4,6,7,7,118,21,73,32,11,7,3
Norte,AP,9,2,9_2,15,13,16,24,1,6,12,3,8,12,12,7,11,148,30,70,29,6,3,2
Norte,AP,9,3,9_3,17,16,12,21,2,10,9,4,4,3,5,4,6,142,22,57,38,15,5,2
Norte,AP,10,1,10_1,7,4,5,17,2,3,6,4,3,3,7,2,2,120,21,77,33,8,7,3
Norte,AP,10,2,10_2,3,7,5,17,3,9,8,4,0,4,6,6,3,144,33,70,31,7,6,2
Norte,AP,10,3,10_3,4,5,9,20,1,4,5,1,7,2,10,0,4,146,23,61,34,16,5,3
Norte,AP,10,4,10_4,0,2,2,1,0,1,0,0,0,0,0,0,0,20,5,11,3,1,0,0
Centro-Oeste,DF,9,3,9_3,24,32,25,32,6,29,23,8,5,11,17,8,9,356,117,204,90,43,65,20
Centro-Oeste,DF,9,2,9_2,27,26,20,50,16,21,24,9,8,11,21,15,18,355,124,250,132,53,49,16
Centro-Oeste,DF,9,1,9_1,26,41,23,39,9,24,18,8,6,9,23,14,19,342,98,241,134,57,59,23
Centro-Oeste,DF,10,3,10_3,18,25,17,33,5,21,25,9,6,9,15,10,16,364,115,213,89,42,65,19
Centro-Oeste,DF,10,4,10_4,9,13,11,19,3,12,8,4,6,0,9,5,4,356,96,241,128,50,50,13
Centro-Oeste,DF,10,1,10_1,24,26,29,26,14,27,15,10,9,14,24,15,23,374,114,255,140,67,63,24
Centro-Oeste,DF,10,2,10_2,13,17,12,23,8,15,17,6,10,3,20,7,14,371,119,239,132,55,49,16
Centro-Oeste,DF,11,2,11_2,15,23,18,29,5,25,12,6,3,3,14,5,6,394,125,264,144,59,50,20
Centro-Oeste,DF,11,3,11_3,15,26,18,21,5,23,12,4,11,3,14,4,7,359,122,224,95,48,74,20
Centro-Oeste,DF,9,4,9_4,14,11,19,29,8,23,15,10,8,9,20,11,11,325,92,217,135,46,45,14
Centro-Oeste,DF,11,4,11_4,8,23,13,24,6,28,14,6,4,2,16,4,8,355,94,236,133,55,44,12
Centro-Oeste,DF,11,1,11_1,13,19,16,27,4,23,14,4,7,4,12,5,5,388,119,262,139,64,60,21
Nordeste,AL,9,4,9_4,21,43,29,48,7,49,15,13,8,11,17,12,12,597,173,380,75,53,64,11
Nordeste,AL,11,3,11_3,15,33,21,35,4,20,9,10,12,7,19,10,5,587,143,357,83,63,71,17
Nordeste,AL,9,2,9_2,21,36,24,29,6,30,19,6,4,8,12,7,7,615,153,372,93,57,53,19
Nordeste,AL,9,1,9_1,28,38,28,47,13,43,27,18,13,13,30,15,17,587,173,395,84,60,52,12
Nordeste,AL,9,3,9_3,35,60,30,43,11,58,24,12,19,12,32,17,22,613,156,372,83,54,66,19
Nordeste,AL,10,2,10_2,14,24,23,48,8,28,15,11,8,10,17,9,9,599,155,371,94,55,61,19
Nordeste,AL,10,4,10_4,19,26,22,32,2,23,7,5,2,4,8,5,3,586,160,383,74,54,54,11
Nordeste,AL,10,1,10_1,19,32,23,44,6,35,14,10,8,7,14,10,12,601,167,401,89,60,43,14
Nordeste,AL,10,3,10_3,10,16,16,29,6,22,11,10,10,8,12,7,7,606,154,372,88,59,70,19
Nordeste,AL,11,2,11_2,13,15,16,21,6,19,9,2,3,4,8,10,7,602,159,373,94,57,59,22
Nordeste,AL,11,4,11_4,22,32,22,36,7,27,16,9,7,2,20,2,14,583,166,383,76,56,58,10
Nordeste,AL,11,1,11_1,11,14,22,24,1,23,11,8,9,4,8,6,6,624,178,413,96,63,44,14
Centro-Oeste,MS,9,1,9_1,15,35,31,36,7,30,22,7,13,9,26,21,8,517,145,346,106,69,76,17
Centro-Oeste,MS,10,1,10_1,24,33,25,36,5,21,20,4,14,8,25,15,9,526,148,348,116,67,77,20
Centro-Oeste,MS,10,3,10_3,10,15,11,32,4,18,7,3,5,3,13,7,4,527,121,359,123,77,80,18
Centro-Oeste,MS,11,1,11_1,16,27,25,25,2,24,7,2,3,4,16,11,2,516,153,351,109,66,70,20
Centro-Oeste,MS,11,3,11_3,15,22,18,24,2,15,10,7,6,6,15,9,6,520,114,362,125,83,79,18
Centro-Oeste,MS,11,2,11_2,32,47,38,39,8,30,14,10,15,12,18,15,15,523,145,361,84,51,79,25
Centro-Oeste,MS,9,3,9_3,18,33,23,41,9,22,21,7,15,7,25,11,12,555,117,358,109,75,72,23
Centro-Oeste,MS,9,4,9_4,24,29,27,40,7,29,15,5,10,4,25,11,14,501,112,344,86,75,70,20
Centro-Oeste,MS,9,2,9_2,20,30,26,39,9,22,19,9,13,5,22,5,15,570,153,388,86,58,74,26
Centro-Oeste,MS,10,4,10_4,9,27,16,28,1,30,10,7,4,3,16,5,6,501,111,339,86,72,75,25
Centro-Oeste,MS,10,2,10_2,16,27,30,37,2,21,15,5,9,4,17,5,7,544,152,367,84,55,79,26
Centro-Oeste,MS,11,4,11_4,14,26,20,26,8,14,15,4,11,7,19,6,9,495,109,357,90,78,73,34
Nordeste,PB,9,2,9_2,24,37,33,56,14,61,13,8,24,5,32,5,15,604,150,373,82,71,67,20
Nordeste,PB,9,3,9_3,25,33,34,51,9,64,13,5,7,3,30,5,8,610,121,388,74,75,51,21
Nordeste,PB,10,1,10_1,19,29,24,45,3,29,12,9,9,5,18,1,6,538,126,379,97,61,63,16
Nordeste,PB,11,1,11_1,18,40,25,42,8,40,8,11,9,5,12,5,7,526,124,371,98,54,66,15
Nordeste,PB,9,1,9_1,27,46,37,64,7,58,17,14,15,7,27,10,9,538,135,373,99,58,67,14
Nordeste,PB,9,4,9_4,18,32,19,48,13,38,12,9,13,10,27,4,8,584,153,403,86,67,52,23
Nordeste,PB,10,4,10_4,5,32,26,53,2,47,6,3,6,3,19,5,7,570,153,406,84,71,52,25
Nordeste,PB,10,2,10_2,16,34,26,62,8,40,13,11,9,5,23,6,10,589,146,363,82,68,63,17
Nordeste,PB,10,3,10_3,20,35,37,49,7,46,13,6,16,3,18,9,8,599,114,396,81,80,55,21
Nordeste,PB,11,4,11_4,17,50,29,53,10,50,9,9,8,4,21,6,7,579,157,415,96,64,54,23
Nordeste,PB,11,2,11_2,17,37,23,40,6,27,11,8,7,2,21,5,6,569,139,357,84,65,59,15
Nordeste,PB,11,3,11_3,16,36,33,59,7,48,15,6,17,4,24,6,16,611,122,424,76,83,53,24
