regiao,estado,testes_realizados,testes_individuais,testes_positivos,testes_inconclusivos,tstes_negativos,percentual_positivo,percentual_inconclusivo,percentual_negativo,frequencia_teste
Norte,RR,2914,2626,1416,52,1446,48.59,1.78,49.62,1.11
Norte,AP,1394,1289,601,43,750,43.11,3.08,53.8,1.08
Norte,AM,4068,3752,1646,83,2336,40.46,2.04,57.42,1.08
Norte,AC,1973,1715,789,49,1134,39.99,2.48,57.48,1.15
Nordeste,MA,6565,6096,2313,86,4164,35.23,1.31,63.43,1.08
Nordeste,AL,3568,3182,1183,48,2337,33.16,1.35,65.5,1.12
Norte,PA,4348,3946,1441,67,2835,33.14,1.54,65.2,1.1
Norte,TO,2159,1941,690,49,1420,31.96,2.27,65.77,1.11
Norte,RO,2217,1920,685,40,1491,30.9,1.8,67.25,1.15
Nordeste,CE,6057,5390,1775,122,4160,29.3,2.01,68.68,1.12
Nordeste,SE,3403,3052,964,70,2369,28.33,2.06,69.62,1.12
Centro-Oeste,MT,5557,4609,1534,110,3913,27.6,1.98,70.42,1.21
Centro-Oeste,GO,9061,7647,2469,88,6502,27.25,0.97,71.76,1.18
Sudeste,ES,6019,5340,1592,212,4211,26.45,3.52,69.96,1.13
Nordeste,RN,3141,2711,820,42,2279,26.11,1.34,72.56,1.16
Nordeste,PB,3919,3605,896,70,2949,22.86,1.79,75.25,1.09
Centro-Oeste,DF,5572,4660,1270,55,4245,22.79,0.99,76.18,1.2
Sul,SC,8110,7328,1847,146,6116,22.77,1.8,75.41,1.11
Centro-Oeste,MS,3579,3126,777,39,2763,21.71,1.09,77.2,1.14
Nordeste,PE,4610,4047,972,144,3491,21.08,3.12,75.73,1.14
Sudeste,RJ,12490,10601,2608,188,9694,20.88,1.51,77.61,1.18
Nordeste,BA,6199,5468,1264,85,4850,20.39,1.37,78.24,1.13
Nordeste,PI,5660,4891,1145,64,4451,20.23,1.13,78.64,1.16
Sudeste,SP,14630,12428,2718,396,11513,18.58,2.71,78.69,1.18
Sul,PR,6729,5985,1194,163,5371,17.74,2.42,79.82,1.12
Sudeste,MG,10077,8741,1748,137,8190,17.35,1.36,81.27,1.15
Sul,RS,8535,7446,1419,161,6955,16.63,1.89,81.49,1.15
